Name,Layer,Status,Wants,Notes,Latitude,Longitude,Google Maps
Rome — Centro / Monti (stay target),Rome stay,candidate,accommodation,Walk to Forum/Colosseum; noisy at night possible,41.8954,12.4904,https://maps.google.com/?q=41.8954
Rome — Trastevere (stay target),Rome stay,candidate,accommodation,Evening food; longer walk to Vatican,41.8897,12.4695,https://maps.google.com/?q=41.8897
Rome — Prati (stay target),Rome stay,candidate,accommodation,Near Vatican; quieter than Centro,41.9090,12.4660,https://maps.google.com/?q=41.9090
Colosseum,Rome activity,candidate,activity,Book timed entry; combine Forum/Palatine,41.8902,12.4922,https://maps.google.com/?q=Colosseum+Rome
Roman Forum / Palatine,Rome activity,want,activity,From your notes. Same ticket cluster as Colosseum; Palatine is one of the seven hills.,41.8925,12.4853,https://maps.google.com/?q=Roman+Forum+Rome
Pantheon,Rome activity,want,activity,From your notes. Central; cheap/ticketed entry. Go early.,41.8986,12.4769,https://maps.google.com/?q=Pantheon+Rome
Trevi Fountain,Rome activity,want,activity,From your notes. Go early or late; very crowded midday.,41.9009,12.4833,https://maps.google.com/?q=Trevi+Fountain
Spanish Steps,Rome activity,want,activity,From your notes. Piazza di Spagna / Trinità dei Monti. Sitting on the steps is restricted; walk them.,41.9063910,12.4830824,https://maps.google.com/?q=Spanish+Steps+Rome
Galleria Colonna,Rome activity,want,activity,From your notes. Palazzo Colonna. Sat entrance Via della Pilotta 17 (mornings); Fri / private tours Piazza SS. Apostoli 66. Book ahead — limited public hours.,41.8974483,12.4848450,https://maps.google.com/?q=Galleria+Colonna+Via+della+Pilotta+17+Roma
Roman Hills (Campidoglio),Rome activity,want,activity,From your notes: Roman Hills. Capitoline Hill / Piazza del Campidoglio — start of a seven-hills walk. Michelangelo square; views over the Forum.,41.8932482,12.4829853,https://maps.google.com/?q=Piazza+del+Campidoglio+Roma
Roman Hills (Aventine Orange Garden),Rome activity,want,activity,From your notes: Roman Hills. Giardino degli Aranci + Knights of Malta keyhole nearby. Best hill views without a ticket.,41.8849257,12.4804510,https://maps.google.com/?q=Giardino+degli+Aranci+Roma
Vatican Museums + Sistine,Rome activity,candidate,activity,Skip-the-line tickets; closed Sundays often,41.9065,12.4536,https://maps.google.com/?q=Vatican+Museums
St Peter's Basilica,Rome activity,candidate,activity,Security line; dress code,41.9022,12.4539,https://maps.google.com/?q=St+Peter's+Basilica
Trastevere wander,Rome activity,candidate,activity,Dinner neighborhood,41.8894,12.4701,https://maps.google.com/?q=Piazza+di+Santa+Maria+in+Trastevere
Roma Termini,Rome logistics,locked,logistics,Florence/Venice trains,41.9009,12.5020,https://maps.google.com/?q=Roma+Termini
Florence Duomo,Florence,candidate,activity,Day trip from Termini,43.7731,11.2560,https://maps.google.com/?q=Florence+Cathedral
Uffizi Gallery,Florence,candidate,activity,Timed tickets,43.7678,11.2553,https://maps.google.com/?q=Uffizi+Gallery
Ponte Vecchio,Florence,candidate,activity,,43.7680,11.2531,https://maps.google.com/?q=Ponte+Vecchio
Firenze SMN station,Florence,locked,logistics,Arrive from Rome,43.7764,11.2481,https://maps.google.com/?q=Firenze+Santa+Maria+Novella
Piazza San Marco,Venice,candidate,activity,Long day from Rome unless overnight,45.4340,12.3388,https://maps.google.com/?q=Piazza+San+Marco+Venice
Rialto Bridge,Venice,candidate,activity,,45.4380,12.3359,https://maps.google.com/?q=Rialto+Bridge
Venezia S. Lucia,Venice,locked,logistics,Train from Rome,45.4410,12.3219,https://maps.google.com/?q=Venezia+Santa+Lucia
Siena centro,Tuscany,candidate,activity,Day trip or overnight from Rome/Florence,43.3188,11.3307,https://maps.google.com/?q=Piazza+del+Campo+Siena
San Gimignano,Tuscany,candidate,activity,Towers; touristy midday,43.4676,11.0432,https://maps.google.com/?q=San+Gimignano
Pienza / Val d'Orcia,Tuscany,candidate,activity,Needs a car or tour,43.0767,11.6786,https://maps.google.com/?q=Pienza
Sorrento,Amalfi stay,want,accommodation,Gateway for the coast; not a Rome day trip. Village streets + Marina Grande nearby.,40.6263,14.3758,https://maps.google.com/?q=Sorrento
Positano,Amalfi activity,want,activity,Steep; mid-Sep still busy. Get lost in streets; galleries and boutiques.,40.6280,14.4850,https://maps.google.com/?q=Positano
Amalfi town,Amalfi activity,want,activity,Get lost in the streets. Hub for Ravello/Atrani walks and boats to Duoglio.,40.6340,14.6026,https://maps.google.com/?q=Amalfi+Italy
Louvre,Paris,candidate,activity,After Italy; timed ticket,48.8606,2.3376,https://maps.google.com/?q=Louvre+Museum
Marais (stay target),Paris stay,candidate,accommodation,Walkable; Marais/Le Marais,48.8570,2.3622,https://maps.google.com/?q=Le+Marais+Paris
Eiffel Tower,Paris,candidate,activity,,48.8584,2.2945,https://maps.google.com/?q=Eiffel+Tower
Sainte-Chapelle,Paris,candidate,activity,Stained glass; book ahead,48.8554,2.3450,https://maps.google.com/?q=Sainte-Chapelle
